date,state,death,positive,hospitalized
22.06.2022,MS,12495,824121,46337.0
21.06.2022,MS,12495,824121,46286.0
20.06.2022,MS,12481,816572,46241.0
19.06.2022,MS,12481,816572,46213.0
18.06.2022,MS,12481,816572,46185.0
17.06.2022,MS,12481,816572,46155.0
16.06.2022,MS,12481,816572,46109.0
15.06.2022,MS,12481,816572,46085.0
14.06.2022,MS,12481,816572,46050.0
13.06.2022,MS,12481,816572,46017.0
12.06.2022,MS,12471,811833,46000.0
11.06.2022,MS,12471,811833,45975.0
10.06.2022,MS,12471,811833,45950.0
09.06.2022,MS,12471,811833,45916.0
08.06.2022,MS,12471,811833,45902.0
07.06.2022,MS,12471,811833,45881.0
06.06.2022,MS,12471,811833,45856.0
05.06.2022,MS,12465,805040,45839.0
04.06.2022,MS,12465,805040,45826.0
03.06.2022,MS,12465,805040,45811.0
02.06.2022,MS,12465,805040,45795.0
01.06.2022,MS,12465,805040,45770.0
31.05.2022,MS,12465,805040,45751.0
30.05.2022,MS,12465,805040,45732.0
29.05.2022,MS,12465,805040,45719.0
28.05.2022,MS,12465,805040,45707.0
27.05.2022,MS,12465,805040,45701.0
26.05.2022,MS,12465,805040,45693.0
25.05.2022,MS,12465,805040,45685.0
24.05.2022,MS,12465,805040,45675.0
23.05.2022,MS,12465,805040,45662.0
22.05.2022,MS,12460,802482,45655.0
21.05.2022,MS,12460,802482,45643.0
20.05.2022,MS,12460,802482,45630.0
19.05.2022,MS,12460,802482,45614.0
18.05.2022,MS,12460,802482,45602.0
17.05.2022,MS,12460,802482,45592.0
16.05.2022,MS,12460,802482,45579.0
15.05.2022,MS,12454,799608,45571.0
14.05.2022,MS,12454,799608,45562.0
13.05.2022,MS,12454,799608,45546.0
12.05.2022,MS,12454,799608,45530.0
11.05.2022,MS,12454,799608,45521.0
10.05.2022,MS,12454,799608,45517.0
09.05.2022,MS,12454,799608,45511.0
08.05.2022,MS,12446,797922,45505.0
07.05.2022,MS,12446,797922,45498.0
06.05.2022,MS,12446,797922,45493.0
05.05.2022,MS,12446,797922,45488.0
04.05.2022,MS,12446,797922,45486.0
03.05.2022,MS,12446,797922,45481.0
02.05.2022,MS,12446,797922,45472.0
01.05.2022,MS,12436,797161,45464.0
30.04.2022,MS,12436,797161,45458.0
29.04.2022,MS,12436,797161,45453.0
28.04.2022,MS,12436,797161,45448.0
27.04.2022,MS,12436,797161,45444.0
26.04.2022,MS,12436,797161,45439.0
25.04.2022,MS,12424,796496,45436.0
24.04.2022,MS,12424,796496,45431.0
23.04.2022,MS,12424,796496,45428.0
22.04.2022,MS,12424,796496,45422.0
21.04.2022,MS,12424,796496,45420.0
20.04.2022,MS,12424,796496,45415.0
19.04.2022,MS,12424,796496,45409.0
18.04.2022,MS,12424,796496,45407.0
17.04.2022,MS,12414,796023,45404.0
16.04.2022,MS,12414,796023,45396.0
15.04.2022,MS,12414,796023,45391.0
14.04.2022,MS,12414,796023,45388.0
13.04.2022,MS,12414,796023,45386.0
12.04.2022,MS,12402,795164,45386.0
11.04.2022,MS,12402,795164,45382.0
10.04.2022,MS,12402,795164,45379.0
09.04.2022,MS,12402,795164,45377.0
08.04.2022,MS,12402,795164,45375.0
07.04.2022,MS,12402,795164,45372.0
06.04.2022,MS,12402,795164,45369.0
05.04.2022,MS,12402,795164,45368.0
04.04.2022,MS,12402,795164,45365.0
03.04.2022,MS,12383,794225,45362.0
02.04.2022,MS,12383,794225,45361.0
01.04.2022,MS,12383,794225,45357.0
31.03.2022,MS,12383,794225,45353.0
30.03.2022,MS,12383,794225,45343.0
29.03.2022,MS,12383,794225,45336.0
28.03.2022,MS,12206,791966,45334.0
27.03.2022,MS,12206,791966,45333.0
26.03.2022,MS,12206,791966,45330.0
25.03.2022,MS,12206,791966,45320.0
24.03.2022,MS,12206,791966,45317.0
23.03.2022,MS,12206,791966,45311.0
22.03.2022,MS,12206,791966,45305.0
21.03.2022,MS,12206,791966,45296.0
20.03.2022,MS,12206,791966,45291.0
19.03.2022,MS,12206,791966,45283.0
18.03.2022,MS,12206,791966,45268.0
17.03.2022,MS,12206,791966,45266.0
16.03.2022,MS,12206,791966,45260.0
15.03.2022,MS,12206,791966,45252.0
14.03.2022,MS,12206,791966,45239.0
13.03.2022,MS,12206,791966,45230.0
12.03.2022,MS,12206,791966,45220.0
11.03.2022,MS,12206,791966,45209.0
10.03.2022,MS,12206,791966,45197.0
09.03.2022,MS,12206,791966,45187.0
08.03.2022,MS,12206,791966,45174.0
07.03.2022,MS,12171,791817,45164.0
06.03.2022,MS,12151,791208,45148.0
05.03.2022,MS,12151,791208,45138.0
04.03.2022,MS,12151,791208,45119.0
03.03.2022,MS,12124,790986,45107.0
02.03.2022,MS,12115,790616,45092.0
01.03.2022,MS,12100,790168,45073.0
28.02.2022,MS,12039,789940,45044.0
27.02.2022,MS,12008,789056,45020.0
26.02.2022,MS,12008,789056,44998.0
25.02.2022,MS,12008,789056,44981.0
24.02.2022,MS,11984,788479,44958.0
23.02.2022,MS,11954,787938,44907.0
22.02.2022,MS,11858,787396,44867.0
21.02.2022,MS,11836,785528,44822.0
20.02.2022,MS,11836,785528,44779.0
19.02.2022,MS,11836,785528,44754.0
18.02.2022,MS,11836,785528,44724.0
17.02.2022,MS,11790,784338,44671.0
16.02.2022,MS,11772,783751,44600.0
15.02.2022,MS,11697,782689,44541.0
14.02.2022,MS,11652,781436,44493.0
13.02.2022,MS,11558,776717,44456.0
12.02.2022,MS,11558,776717,44408.0
11.02.2022,MS,11558,776717,44325.0
10.02.2022,MS,11508,774505,44225.0
09.02.2022,MS,11455,772844,44139.0
08.02.2022,MS,11378,770522,44055.0
07.02.2022,MS,11285,768457,43940.0
06.02.2022,MS,11250,751862,43836.0
05.02.2022,MS,11250,751862,43754.0
04.02.2022,MS,11250,751862,43672.0
03.02.2022,MS,11202,744023,43554.0
02.02.2022,MS,11170,737607,43416.0
01.02.2022,MS,11044,731667,43242.0
31.01.2022,MS,10935,727418,43048.0
30.01.2022,MS,10831,717666,42879.0
29.01.2022,MS,10831,717666,42777.0
28.01.2022,MS,10831,717666,42604.0
27.01.2022,MS,10806,712133,42423.0
26.01.2022,MS,10774,705598,42254.0
25.01.2022,MS,10755,699002,42039.0
24.01.2022,MS,10734,694093,41819.0
23.01.2022,MS,10721,681382,41642.0
22.01.2022,MS,10721,681382,41492.0
21.01.2022,MS,10721,681382,41297.0
20.01.2022,MS,10707,673873,41092.0
19.01.2022,MS,10690,665544,40879.0
18.01.2022,MS,10642,657084,40672.0
17.01.2022,MS,10624,634628,40477.0
16.01.2022,MS,10624,634628,40306.0
15.01.2022,MS,10624,634628,40175.0
14.01.2022,MS,10624,634628,40007.0
13.01.2022,MS,10606,625328,39797.0
12.01.2022,MS,10563,608768,39589.0
11.01.2022,MS,10563,608768,39423.0
10.01.2022,MS,10527,586547,39219.0
09.01.2022,MS,10527,586547,39031.0
08.01.2022,MS,10527,586547,38879.0
07.01.2022,MS,10527,586547,38726.0
06.01.2022,MS,10511,579773,38554.0
05.01.2022,MS,10503,572694,38370.0
04.01.2022,MS,10492,566102,38175.0
03.01.2022,MS,10455,561262,38048.0
02.01.2022,MS,10450,543737,37935.0
01.01.2022,MS,10450,543737,37835.0
31.12.2021,MS,10450,543737,37734.0
30.12.2021,MS,10450,543737,37636.0
29.12.2021,MS,10439,538852,37523.0
28.12.2021,MS,10420,535258,37412.0
27.12.2021,MS,10398,532560,37307.0
26.12.2021,MS,10393,525502,37226.0
25.12.2021,MS,10393,525502,37183.0
24.12.2021,MS,10393,525502,37138.0
23.12.2021,MS,10393,525502,37103.0
22.12.2021,MS,10393,525502,37076.0
21.12.2021,MS,10387,524629,37049.0
20.12.2021,MS,10364,523889,37012.0
19.12.2021,MS,10354,522455,36990.0
18.12.2021,MS,10354,522455,36970.0
17.12.2021,MS,10354,522455,36944.0
16.12.2021,MS,10351,521544,36923.0
15.12.2021,MS,10347,520834,36898.0
14.12.2021,MS,10340,520259,36866.0
13.12.2021,MS,10331,519851,36840.0
12.12.2021,MS,10326,519115,36812.0
11.12.2021,MS,10326,519115,36797.0
10.12.2021,MS,10326,519115,36770.0
09.12.2021,MS,10317,518670,36752.0
08.12.2021,MS,10312,517925,36729.0
07.12.2021,MS,10306,517138,36695.0
06.12.2021,MS,10299,516486,36663.0
05.12.2021,MS,10297,515504,36643.0
04.12.2021,MS,10297,515504,36622.0
03.12.2021,MS,10297,515504,36600.0
02.12.2021,MS,10290,515208,36574.0
01.12.2021,MS,10287,514639,36553.0
30.11.2021,MS,10285,514171,36523.0
29.11.2021,MS,10264,513622,36500.0
28.11.2021,MS,10262,512632,36473.0
27.11.2021,MS,10262,512632,36457.0
26.11.2021,MS,10262,512632,36432.0
25.11.2021,MS,10262,512632,36416.0
24.11.2021,MS,10262,512632,36396.0
23.11.2021,MS,10253,512200,36376.0
22.11.2021,MS,10240,511935,36354.0
21.11.2021,MS,10229,510748,36334.0
20.11.2021,MS,10229,510748,36316.0
19.11.2021,MS,10229,510748,36300.0
18.11.2021,MS,10222,510322,36282.0
17.11.2021,MS,10217,509942,36273.0
16.11.2021,MS,10215,509717,36252.0
15.11.2021,MS,10203,509275,36233.0
14.11.2021,MS,10187,508469,36216.0
13.11.2021,MS,10187,508469,36198.0
12.11.2021,MS,10187,508469,36181.0
11.11.2021,MS,10182,507775,36167.0
10.11.2021,MS,10182,507775,36149.0
09.11.2021,MS,10178,507476,36135.0
08.11.2021,MS,10153,507116,36125.0
07.11.2021,MS,10148,506556,36109.0
06.11.2021,MS,10148,506556,36103.0
05.11.2021,MS,10148,506556,36085.0
04.11.2021,MS,10134,506042,36071.0
03.11.2021,MS,10135,505661,36053.0
02.11.2021,MS,10129,505266,36026.0
01.11.2021,MS,10098,504811,36002.0
31.10.2021,MS,10075,504318,35988.0
30.10.2021,MS,10075,504318,35972.0
29.10.2021,MS,10075,504318,35946.0
28.10.2021,MS,10064,504009,35930.0
27.10.2021,MS,10059,503666,35907.0
26.10.2021,MS,10057,503322,35886.0
25.10.2021,MS,10024,501652,35866.0
24.10.2021,MS,9990,501097,35845.0
23.10.2021,MS,9990,501097,35820.0
22.10.2021,MS,9990,501097,35799.0
21.10.2021,MS,9977,500708,35764.0
20.10.2021,MS,9968,500286,35727.0
19.10.2021,MS,9957,499838,35682.0
18.10.2021,MS,9939,498560,35649.0
17.10.2021,MS,9917,497790,35616.0
16.10.2021,MS,9917,497790,35595.0
15.10.2021,MS,9917,497790,35560.0
14.10.2021,MS,9907,497379,35539.0
13.10.2021,MS,9900,496851,35512.0
12.10.2021,MS,9874,496132,35476.0
11.10.2021,MS,9833,495312,35440.0
10.10.2021,MS,9811,494271,35426.0
09.10.2021,MS,9811,494271,35398.0
08.10.2021,MS,9811,494271,35367.0
07.10.2021,MS,9778,493670,35340.0
06.10.2021,MS,9768,492558,35306.0
05.10.2021,MS,9749,491724,35266.0
04.10.2021,MS,9688,490777,35222.0
03.10.2021,MS,9646,489216,35182.0
02.10.2021,MS,9646,489216,35143.0
01.10.2021,MS,9646,489216,35102.0
30.09.2021,MS,9600,488394,35070.0
29.09.2021,MS,9588,487293,35031.0
28.09.2021,MS,9538,486195,34978.0
27.09.2021,MS,9480,484675,34925.0
26.09.2021,MS,9425,482902,34879.0
25.09.2021,MS,9425,482902,34838.0
24.09.2021,MS,9425,482902,34788.0
23.09.2021,MS,9395,481397,34713.0
22.09.2021,MS,9353,479326,34653.0
21.09.2021,MS,9331,477769,34579.0
20.09.2021,MS,9270,476100,34508.0
19.09.2021,MS,9214,473413,34436.0
18.09.2021,MS,9214,473413,34372.0
17.09.2021,MS,9214,473413,34301.0
16.09.2021,MS,9165,471092,34234.0
15.09.2021,MS,9100,468498,34151.0
14.09.2021,MS,9061,466145,34078.0
13.09.2021,MS,8976,464075,33984.0
12.09.2021,MS,8905,460312,33915.0
11.09.2021,MS,8905,460312,33839.0
10.09.2021,MS,8905,460312,33742.0
09.09.2021,MS,8870,458420,33639.0
08.09.2021,MS,8787,455282,33521.0
07.09.2021,MS,8685,453348,33396.0
06.09.2021,MS,8648,452644,33277.0
05.09.2021,MS,8540,446863,33168.0
04.09.2021,MS,8540,446863,33063.0
03.09.2021,MS,8540,446863,32942.0
02.09.2021,MS,8507,443511,32818.0
01.09.2021,MS,8490,439661,32658.0
31.08.2021,MS,8409,436722,32510.0
30.08.2021,MS,8361,435611,32355.0
29.08.2021,MS,8279,427640,32231.0
28.08.2021,MS,8279,427640,32093.0
27.08.2021,MS,8279,427640,31925.0
26.08.2021,MS,8214,423599,31785.0
25.08.2021,MS,8180,420174,31619.0
24.08.2021,MS,8158,416789,31455.0
23.08.2021,MS,8047,413498,31277.0
22.08.2021,MS,7991,406249,31121.0
21.08.2021,MS,7991,406249,30968.0
20.08.2021,MS,7991,406249,30801.0
19.08.2021,MS,7937,401201,30627.0
18.08.2021,MS,7916,396394,30426.0
17.08.2021,MS,7880,392309,30231.0
16.08.2021,MS,7813,388986,30028.0
15.08.2021,MS,7761,381147,29861.0
14.08.2021,MS,7761,381147,29711.0
13.08.2021,MS,7761,381147,29515.0
12.08.2021,MS,7730,376124,29329.0
11.08.2021,MS,7710,371712,29111.0
10.08.2021,MS,7685,368549,28924.0
09.08.2021,MS,7649,365061,28710.0
08.08.2021,MS,7621,358149,28559.0
07.08.2021,MS,7621,358149,28396.0
06.08.2021,MS,7621,358149,28244.0
05.08.2021,MS,7613,356055,28073.0
04.08.2021,MS,7597,352891,27893.0
03.08.2021,MS,7590,350070,27729.0
02.08.2021,MS,7556,348496,27575.0
01.08.2021,MS,7543,343505,27440.0
31.07.2021,MS,7543,343505,27307.0
30.07.2021,MS,7543,343505,27184.0
29.07.2021,MS,7533,341862,27066.0
28.07.2021,MS,7529,339954,26950.0
27.07.2021,MS,7523,338079,26837.0
26.07.2021,MS,7508,336788,26715.0
25.07.2021,MS,7502,333180,26637.0
24.07.2021,MS,7502,333180,26567.0
23.07.2021,MS,7502,333180,26490.0
22.07.2021,MS,7494,331863,26417.0
21.07.2021,MS,7485,330664,26328.0
20.07.2021,MS,7477,329703,26269.0
19.07.2021,MS,7468,329130,26196.0
18.07.2021,MS,7465,326804,26137.0
17.07.2021,MS,7465,326804,26081.0
16.07.2021,MS,7465,326804,26015.0
15.07.2021,MS,7460,326270,25961.0
14.07.2021,MS,7456,325713,25905.0
13.07.2021,MS,7451,325072,25857.0
12.07.2021,MS,7441,324853,25815.0
11.07.2021,MS,7439,324057,25776.0
10.07.2021,MS,7439,324057,25737.0
09.07.2021,MS,7439,324057,25692.0
08.07.2021,MS,7437,323641,25646.0
07.07.2021,MS,7436,323214,25614.0
06.07.2021,MS,7425,322835,25581.0
05.07.2021,MS,7419,322186,25545.0
04.07.2021,MS,7419,322186,25520.0
03.07.2021,MS,7419,322186,25488.0
02.07.2021,MS,7419,322186,25469.0
01.07.2021,MS,7415,321944,25440.0
30.06.2021,MS,7412,321764,25406.0
29.06.2021,MS,7412,321408,25373.0
28.06.2021,MS,7401,321138,25352.0
27.06.2021,MS,7395,320837,25326.0
26.06.2021,MS,7395,320837,25296.0
25.06.2021,MS,7395,320837,25263.0
24.06.2021,MS,7391,320594,25232.0
23.06.2021,MS,7390,320292,25204.0
22.06.2021,MS,7390,320174,25178.0
21.06.2021,MS,7378,320107,25146.0
20.06.2021,MS,7371,319948,25113.0
19.06.2021,MS,7371,319948,25087.0
18.06.2021,MS,7371,319948,25056.0
17.06.2021,MS,7369,319704,25025.0
16.06.2021,MS,7368,319511,24995.0
15.06.2021,MS,7361,319428,24965.0
14.06.2021,MS,7354,319381,24936.0
13.06.2021,MS,7353,319115,24907.0
12.06.2021,MS,7353,319115,24880.0
11.06.2021,MS,7353,319115,24849.0
10.06.2021,MS,7348,318879,24817.0
09.06.2021,MS,7347,318685,24790.0
08.06.2021,MS,7343,318578,24759.0
07.06.2021,MS,7333,318521,24714.0
06.06.2021,MS,7325,318189,24683.0
05.06.2021,MS,7325,318189,24655.0
04.06.2021,MS,7325,318189,24626.0
03.06.2021,MS,7324,318048,24592.0
02.06.2021,MS,7323,317856,24566.0
01.06.2021,MS,7318,317755,24533.0
31.05.2021,MS,7316,317713,24502.0
30.05.2021,MS,7310,317407,24473.0
29.05.2021,MS,7310,317407,24444.0
28.05.2021,MS,7310,317407,24420.0
27.05.2021,MS,7304,317276,24388.0
26.05.2021,MS,7302,317065,24367.0
25.05.2021,MS,7298,316911,24346.0
24.05.2021,MS,7285,316754,24317.0
23.05.2021,MS,7279,316272,24297.0
22.05.2021,MS,7279,316272,24269.0
21.05.2021,MS,7279,316272,24246.0
20.05.2021,MS,7278,316167,24217.0
19.05.2021,MS,7269,315891,24184.0
18.05.2021,MS,7268,315634,24157.0
17.05.2021,MS,7257,315026,24128.0
16.05.2021,MS,7254,314710,24106.0
15.05.2021,MS,7254,314710,24087.0
14.05.2021,MS,7254,314710,24065.0
13.05.2021,MS,7247,314509,24041.0
12.05.2021,MS,7244,314147,24016.0
11.05.2021,MS,7240,313942,23999.0
10.05.2021,MS,7234,313675,23969.0
09.05.2021,MS,7228,313166,23945.0
08.05.2021,MS,7228,313166,23923.0
07.05.2021,MS,7228,313166,23900.0
06.05.2021,MS,7226,312926,23882.0
